preference_category,preferences,preference_facts,question,ground_truth_answer
physical exercises,"[""yoga"", ""cycling""]","[""I find yoga helps me stay flexible and calm after a long day."", ""Cycling is my favorite way to combine cardio with exploring new places.""]",I'm planning my weekly workout schedule and want a good balance of activities. What should I include?,"yoga, cycling"
travel destinations,"[""Japan"", ""Italy"", ""New Zealand""]","[""Japan fascinates me with its blend of tradition and cutting-edge technology."", ""Italy's rich history and amazing food always draw me back."", ""New Zealand's stunning landscapes make it my dream spot for adventure trips.""]","I'm thinking about where to go for my next vacation that combines culture, food, and outdoor activities. Any ideas?","Japan, Italy, New Zealand"
comedy styles,"[""satire"", ""slapstick"", ""dark humor""]","[""Satire always grabs my attention because of how cleverly it points out societal issues."", ""I enjoy slapstick comedy because the physical gags never fail to make me laugh."", ""Dark humor appeals to me when it pushes boundaries in a thoughtful way.""]",I'm looking for some comedy shows to watch that can fit different moods. What should I pick?,"satire, slapstick, dark humor"
cuisines,"[""Mexican"", ""Thai""]","[""Mexican food excites me with its bold spices and fresh ingredients."", ""I like Thai cuisine for its balance of sweet, sour, and spicy flavors.""]",I'm planning a dinner party and want to serve dishes that reflect my favorite tastes. What should be on the menu?,"Mexican, Thai"
board games,"[""Catan"", ""Chess"", ""Ticket to Ride"", ""Pandemic"", ""Carcassonne""]","[""Catan is my go-to for a strategic game that mixes luck and planning."", ""Chess challenges me to think several moves ahead in a classic way."", ""Ticket to Ride is perfect when I want a fun, competitive game about building routes."", ""I like Pandemic because it requires teamwork to beat the game\u2019s challenges."", ""Carcassonne is great for when I want a casual yet tactical tile-laying game.""]",I'm hosting a game night and want to pick a variety of board games that everyone will enjoy. What should I choose?,"Catan, Chess, Ticket to Ride, Pandemic, Carcassonne"
hobbies,"[""painting"", ""gardening""]","[""Painting lets me express my creativity and relax after work."", ""Gardening gives me a great sense of accomplishment when I see plants thrive.""]",I want to pick up a hobby that can be both calming and fulfilling. What should I try?,"painting, gardening"
types of movies,"[""thrillers"", ""comedies"", ""documentaries""]","[""Thrillers keep me on the edge of my seat with their suspense and twists."", ""Comedies are my favorite when I just want to lighten the mood and laugh."", ""Documentaries appeal to me because I love learning about real stories and facts.""]",I’m choosing movies for a weekend marathon that should keep things interesting and varied. What genres should I include?,"thrillers, comedies, documentaries"
comedy styles,"[""improv"", ""stand-up""]","[""Improv comedy fascinates me with its spontaneous and unpredictable humor."", ""Stand-up routines are my favorite for clever jokes delivered directly by comedians.""]",I’m picking a comedy show to attend that will really entertain me. What style should I look for?,"improv, stand-up"
sleep habits,"[""napping"", ""early bedtime"", ""sleeping with white noise""]","[""Napping during the day helps me recharge and stay productive."", ""I prefer going to bed early because it makes waking up easier and more refreshing."", ""Sleeping with white noise helps me drown out distractions and get better rest.""]",I want to improve my overall sleep quality with some new habits. What should I focus on?,"napping, early bedtime, sleeping with white noise"
self-care activities,"[""meditation"", ""journaling"", ""taking baths"", ""reading"", ""going for walks""]","[""Meditation helps me clear my mind and reduce stress daily."", ""Journaling is my way to process thoughts and track progress over time."", ""Taking baths allows me to unwind and soothe my muscles after a long day."", ""Reading immerses me in new worlds and ideas, which I find incredibly relaxing."", ""Going for walks gives me fresh air and a chance to reflect quietly.""]",I'm setting up a self-care routine that helps me relax and recharge. What activities should I include?,"meditation, journaling, taking baths, reading, going for walks"
comedy styles,"[""satire"", ""slapstick"", ""dark humor"", ""improvisation"", ""observational comedy""]","[""Satire always catches my attention because it cleverly critiques society and politics."", ""I find slapstick hilarious, especially when physical comedy goes over the top."", ""Dark humor appeals to me when it challenges taboos in a witty way."", ""I enjoy improvisation since the spontaneity keeps me on my toes during performances."", ""Observational comedy really connects with me when it highlights everyday quirks.""]",I'm putting together a comedy night playlist that everyone will enjoy. What kinds of comedy should I include to cover all my tastes?,"satire, slapstick, dark humor, improvisation, observational comedy"
board games,"[""Catan"", ""Ticket to Ride"", ""Pandemic"", ""Carcassonne""]","[""I love playing Catan because the resource trading always sparks interesting strategies."", ""Ticket to Ride is my choice when I want a fun, competitive railroad-building experience."", ""Pandemic keeps me engaged with its cooperative gameplay and urgent missions."", ""Carcassonne is great for me when I want to build and claim territory tile by tile.""]","My friends and I are planning a game night, and I want to pick games that fit all my favorites. Which board games should I bring?","Catan, Ticket to Ride, Pandemic, Carcassonne"
foods,"[""pizza"", ""sushi"", ""ramen""]","[""I love pizza \u2014 it's my default Friday night meal."", ""Sushi is my go-to whenever I want something fresh and light."", ""I'm a huge ramen fan, especially on cold days.""]",I'm ordering takeout for the week and want to include meals that match all my cravings. What should I order?,"pizza, sushi, ramen"
productivity methods,"[""Pomodoro Technique"", ""Getting Things Done"", ""Time Blocking"", ""Bullet Journaling""]","[""The Pomodoro Technique helps me stay focused by breaking work into short, timed intervals."", ""Getting Things Done keeps my tasks organized so I never forget important details."", ""Time Blocking allows me to dedicate specific chunks of the day to different projects."", ""I rely on Bullet Journaling to track my goals and daily habits creatively.""]",I want to redesign my work routine to boost efficiency. Which productivity approaches should I combine to cover all my preferences?,"Pomodoro Technique, Getting Things Done, Time Blocking, Bullet Journaling"
travel destinations,"[""Japan"", ""Italy"", ""New Zealand""]","[""Japan fascinates me with its blend of ancient tradition and cutting-edge technology."", ""Italy is my dream destination for its incredible art, history, and food."", ""I want to explore New Zealand for its stunning landscapes and adventure sports.""]","Planning my next vacation, I want to consider all the places I’m interested in. Where should I look into visiting?","Japan, Italy, New Zealand"
podcast topics,"[""true crime"", ""technology"", ""personal finance"", ""history""]","[""True crime podcasts keep me hooked with their gripping storytelling and mysteries."", ""Technology shows help me stay updated on the latest gadgets and innovations."", ""Personal finance podcasts are my go-to for smart money management tips."", ""I enjoy history podcasts because they bring the past vividly to life.""]",I want to subscribe to podcasts that cover all the topics I care about. Which subjects should I look for?,"true crime, technology, personal finance, history"
cuisines,"[""Mexican"", ""Thai""]","[""Mexican cuisine excites me with its bold flavors and variety of spices."", ""I appreciate Thai food for its perfect balance of sweet, sour, salty, and spicy tastes.""]",I'm planning a dinner party and want dishes that reflect all my favorite cuisines. What should I include on the menu?,"Mexican, Thai"
academic subjects,"[""psychology"", ""physics""]","[""Psychology intrigues me because it explains how people think and behave."", ""Physics fascinates me with its fundamental laws that describe the universe.""]",I'm choosing courses for next semester and want to include all my interests. Which subjects should I sign up for?,"psychology, physics"
dating activities,"[""hiking"", ""cooking together"", ""going to concerts"", ""visiting museums""]","[""I enjoy hiking on dates because being outdoors feels refreshing and fun."", ""Cooking together is a great way for me to bond and share creativity."", ""Going to concerts excites me with live music and energetic crowds."", ""Visiting museums interests me when I want to explore art and history with someone.""]",I'm planning a series of dates and want to include activities that match all my preferences. What should I consider doing?,"hiking, cooking together, going to concerts, visiting museums"
card games,"[""Poker"", ""Bridge"", ""Uno"", ""Hearts""]","[""Poker challenges me with its blend of luck, strategy, and reading opponents."", ""Bridge appeals to me for its complexity and team-based gameplay."", ""Uno is my favorite for quick, casual fun with friends."", ""Hearts keeps me entertained with its trick-taking and point-avoidance rules.""]",I'm hosting a game night and want to feature all my preferred card games. Which ones should I include?,"Poker, Bridge, Uno, Hearts"
hobbies,"[""gardening"", ""photography"", ""knitting"", ""birdwatching"", ""chess""]","[""Tending to my garden helps me unwind after a busy day."", ""Capturing moments with my camera is something I do every weekend."", ""I find knitting to be a soothing way to pass the time."", ""Observing birds in their natural habitat fascinates me endlessly."", ""Playing chess keeps my mind sharp and challenges my strategy skills.""]",I'm planning my weekend and want to pick hobbies that keep me both active and relaxed. What should I focus on?,"gardening, photography, knitting, birdwatching, chess"
self-care activities,"[""meditation"", ""aromatherapy""]","[""Meditation helps me clear my mind and reduce stress daily."", ""I enjoy aromatherapy because certain scents instantly lift my mood.""]","After a hectic day, what self-care activities should I try to feel completely refreshed?","meditation, aromatherapy"
academic subjects,"[""history"", ""mathematics""]","[""I get absorbed in history because learning about the past gives me perspective."", ""Mathematics challenges me and I enjoy solving complex problems.""]",I'm considering taking extra classes to improve my knowledge. Which subjects should I focus on?,"history, mathematics"
sleep habits,"[""taking naps"", ""sleeping with blackout curtains"", ""using white noise"", ""maintaining a consistent bedtime""]","[""Taking short naps during the day really boosts my energy."", ""Sleeping with blackout curtains helps me get uninterrupted rest."", ""I like using white noise machines to drown out distractions at night."", ""Keeping a consistent bedtime makes waking up easier for me.""]",I've been struggling with feeling rested lately. What sleep habits should I adopt to improve my sleep quality?,"taking naps, sleeping with blackout curtains, using white noise, maintaining a consistent bedtime"
collectibles,"[""vinyl records"", ""postage stamps"", ""comic books"", ""antique coins""]","[""Collecting vinyl records connects me with classic music and nostalgia."", ""I enjoy gathering rare postage stamps from around the world."", ""Comic books have always been a treasure trove of stories I love."", ""Antique coins fascinate me because they tell stories of different eras.""]",A friend wants to gift me something related to my collections. What types of collectibles should they consider?,"vinyl records, postage stamps, comic books, antique coins"
animals,"[""dogs"", ""parrots"", ""turtles""]","[""Dogs are my favorite companions for outdoor adventures."", ""I love how parrots can mimic sounds and have vibrant personalities."", ""Turtles intrigue me with their slow, steady nature and longevity.""]",I'm thinking of adopting a pet that fits my lifestyle and interests. Which animals should I consider?,"dogs, parrots, turtles"
outdoor activities,"[""hiking"", ""kayaking""]","[""Hiking allows me to connect with nature while getting a good workout."", ""Kayaking gives me a peaceful way to explore lakes and rivers.""]",I want to spend the weekend outdoors doing activities that are both invigorating and calming. What should I plan?,"hiking, kayaking"
comedy styles,"[""satire"", ""slapstick"", ""dark humor"", ""improvisation""]","[""Satire appeals to me because it cleverly critiques society."", ""Slapstick comedy always makes me laugh with its physical gags."", ""I appreciate dark humor for its edgy and unexpected punchlines."", ""Improvisation impresses me with its spontaneity and quick wit.""]",I'm organizing a comedy night and want to include all the styles I enjoy. Which types should be featured?,"satire, slapstick, dark humor, improvisation"
types of movies,"[""documentaries"", ""thrillers"", ""animated films""]","[""Documentaries fascinate me by showing real-life stories and facts."", ""Thrillers keep me on the edge of my seat with suspenseful plots."", ""Animated films often bring out my inner child with their creativity.""]","For movie night, I want a lineup that keeps me engaged and entertained in different ways. What genres should I include?","documentaries, thrillers, animated films"
cuisines,"[""Italian"", ""Japanese"", ""Mexican"", ""Indian"", ""Mediterranean""]","[""Italian food draws me in with its rich flavors and comforting pasta dishes."", ""Japanese cuisine is my favorite for its fresh sushi and delicate presentation."", ""Mexican dishes excite me with bold spices and vibrant ingredients."", ""Indian food captivates me with its complex spices and variety of vegetarian options."", ""Mediterranean meals appeal to me because of their healthy ingredients and fresh tastes.""]",I'm planning a dinner party and want to serve dishes from all the cuisines I enjoy. What should be on the menu?,"Italian, Japanese, Mexican, Indian, Mediterranean"
travel destinations,"[""Iceland"", ""Japan"", ""Italy"", ""New Zealand"", ""Morocco""]","[""Iceland's dramatic glaciers and hot springs always fascinate me."", ""Japan captivates me with its blend of ancient temples and cutting-edge technology."", ""Italy's rich history and incredible cuisine make it a place I always want to revisit."", ""New Zealand's outdoor adventures and stunning landscapes inspire my wanderlust."", ""Morocco's vibrant markets and desert scenery offer an unforgettable cultural experience.""]",I'm planning my next vacation and want to pick a destination that matches my varied tastes. What are some places I should consider?,"Iceland, Japan, Italy, New Zealand, Morocco"
social media content types,"[""DIY tutorials"", ""travel vlogs"", ""book reviews""]","[""I often watch DIY tutorials to pick up new crafting ideas."", ""Travel vlogs help me explore new places from the comfort of home."", ""Book reviews guide me in choosing my next great read.""]",I'm thinking about curating my social media feed to better fit what I enjoy watching. What types of content should I follow?,"DIY tutorials, travel vlogs, book reviews"
social media content types,"[""fitness challenges"", ""comedy sketches"", ""cooking demos"", ""motivational talks""]","[""Fitness challenges keep me motivated to stay active."", ""Comedy sketches brighten my day with quick laughs."", ""Cooking demos inspire me to try new recipes in the kitchen."", ""Motivational talks help me stay focused and positive.""]",I want to refresh my social media subscriptions with content that energizes and entertains me. What should I look for?,"fitness challenges, comedy sketches, cooking demos, motivational talks"
podcast topics,"[""true crime"", ""technology trends"", ""history"", ""personal finance""]","[""True crime podcasts keep me hooked with their suspenseful storytelling."", ""I listen to technology trends podcasts to stay ahead of new innovations."", ""History podcasts satisfy my curiosity about past events."", ""Personal finance podcasts help me manage my money better.""]",I'm creating a playlist for my daily commute and want a mix of topics that keep me both informed and entertained. What should I include?,"true crime, technology trends, history, personal finance"
outdoor activities,"[""hiking"", ""kayaking"", ""birdwatching""]","[""Hiking allows me to disconnect and enjoy nature on foot."", ""Kayaking gives me a peaceful way to explore lakes and rivers."", ""Birdwatching is a relaxing hobby that sharpens my observation skills.""]",It's a sunny weekend and I want to plan some outdoor fun that fits what I like. What activities should I consider?,"hiking, kayaking, birdwatching"
self-care activities,"[""meditation"", ""journaling"", ""taking baths""]","[""Meditation helps me clear my mind and reduce stress."", ""Journaling is my way to reflect and process my thoughts daily."", ""Taking baths is how I unwind after a long day.""]","After a hectic week, I want to create a self-care routine that truly helps me relax. What activities should I include?","meditation, journaling, taking baths"
book genres,"[""science fiction"", ""mystery"", ""historical fiction"", ""fantasy"", ""non-fiction""]","[""Science fiction novels spark my imagination about the future."", ""Mystery books keep me guessing until the very end."", ""Historical fiction lets me experience different time periods through captivating stories."", ""I love fantasy worlds full of magic and adventure."", ""Non-fiction books provide me with knowledge and real-world insights.""]",I'm building a reading list and want a variety of genres that I really enjoy. Which ones should I include?,"science fiction, mystery, historical fiction, fantasy, non-fiction"
academic subjects,"[""psychology"", ""physics"", ""literature"", ""economics""]","[""Psychology fascinates me because it explains human behavior and mind."", ""Physics challenges me with its principles about the universe."", ""Literature captivates me with its exploration of stories and language."", ""Economics interests me due to its impact on markets and societies.""]",I'm thinking about picking some online courses that fit my academic interests. What subjects should I focus on?,"psychology, physics, literature, economics"
sleep habits,"[""going to bed early"", ""using white noise"", ""keeping a consistent wake-up time""]","[""I prefer going to bed early to wake up refreshed."", ""Using white noise helps me fall asleep faster and stay asleep."", ""Keeping a consistent wake-up time is key to my sleep routine.""]",I want to improve my sleep quality by adjusting my habits. What strategies should I focus on?,"going to bed early, using white noise, keeping a consistent wake-up time"
conversation topics,"[""travel experiences"", ""favorite movies""]","[""I love sharing stories about my travel experiences with others."", ""Talking about favorite movies always sparks interesting discussions.""]",I'm meeting new people and want to bring up topics that I really enjoy discussing. What should I talk about?,"travel experiences, favorite movies"
comedy styles,"[""satire"", ""slapstick""]","[""Satire always gets me thinking because it cleverly critiques society."", ""I find slapstick hilarious, especially when the physical comedy is over the top.""]",I'm picking a comedy show to watch tonight; what styles should I look for to really enjoy it?,"satire, slapstick"
conversation topics,"[""technology"", ""travel"", ""food"", ""books"", ""sports""]","[""Talking about the latest technology trends always fascinates me."", ""I love swapping travel stories and hearing about new places."", ""Food discussions get me excited, especially when people share recipes."", ""I enjoy deep dives into books and literary themes during conversations."", ""Sports debates really energize me, especially about recent games.""]",I'm meeting some new people and want to steer the chat to topics I'll enjoy; what should I bring up?,"technology, travel, food, books, sports"
travel destinations,"[""Japan"", ""Iceland""]","[""Japan's mix of ancient culture and modern cities always draws me in."", ""Iceland's dramatic landscapes and northern lights are on my must-see list.""]",I'm planning a vacation and want to pick a destination that suits what I enjoy; what places should I consider?,"Japan, Iceland"
podcast topics,"[""true crime"", ""science"", ""history"", ""personal finance""]","[""True crime podcasts keep me hooked with their suspenseful storytelling."", ""I love science podcasts that explain complex ideas in an accessible way."", ""History podcasts fascinate me by bringing the past to life."", ""Personal finance podcasts help me stay smart about managing money.""]",I'm looking to subscribe to a few new podcasts; what topics should I focus on to keep me engaged?,"true crime, science, history, personal finance"
podcast topics,"[""self-improvement"", ""technology"", ""comedy"", ""health"", ""entrepreneurship""]","[""Self-improvement podcasts motivate me to become a better version of myself."", ""I enjoy technology podcasts that explore the latest gadgets and innovations."", ""Comedy podcasts are my go-to when I want to relax and laugh."", ""Health podcasts provide useful tips to keep me feeling my best."", ""Entrepreneurship podcasts inspire me with stories of business success and challenges.""]",I want to build a podcast playlist that covers all my interests; what themes should I include?,"self-improvement, technology, comedy, health, entrepreneurship"
career fields,"[""software engineering"", ""marketing"", ""education"", ""healthcare"", ""finance""]","[""Software engineering appeals to me because I enjoy building and problem-solving."", ""Marketing fascinates me with its blend of creativity and strategy."", ""Education is rewarding since I like helping others learn and grow."", ""Healthcare interests me as it directly impacts people\u2019s well-being."", ""Finance attracts me because I like analyzing data and managing resources.""]",I'm considering career options and want to focus on fields I find appealing; which should I explore?,"software engineering, marketing, education, healthcare, finance"
drinks,"[""coffee"", ""green tea"", ""orange juice"", ""red wine""]","[""Coffee is my morning staple to kickstart the day."", ""I enjoy green tea for its calming and refreshing qualities."", ""Orange juice is my favorite breakfast drink because it\u2019s sweet and tangy."", ""Red wine is perfect for unwinding after a long day.""]",I'm stocking my fridge and want to have drinks that I really like on hand; what should I get?,"coffee, green tea, orange juice, red wine"
types of desserts,"[""cheesecake"", ""macarons"", ""brownies""]","[""Cheesecake is my go-to dessert when I want something rich and creamy."", ""Macarons always catch my eye with their delicate texture and vibrant colors."", ""Brownies satisfy my craving for something chocolatey and fudgy.""]",I’m bringing desserts to a party and want to choose treats I’ll truly enjoy; what should I consider?,"cheesecake, macarons, brownies"
sleep habits,"[""early to bed"", ""night owl"", ""napper"", ""light sleeper""]","[""I usually go to bed early to feel rested for the day ahead."", ""Sometimes I\u2019m a night owl and get most productive late at night."", ""I like taking short naps during the day to recharge."", ""Being a light sleeper means I wake up easily with noise.""]",I want to optimize my sleep schedule and habits; what patterns should I keep in mind?,"early to bed, night owl, napper, light sleeper"
board games,"[""Catan"", ""Chess"", ""Ticket to Ride"", ""Pandemic"", ""Carcassonne""]","[""Catan is my favorite for its strategic resource trading."", ""Chess challenges me with deep tactical thinking every game."", ""Ticket to Ride is fun because I love building train routes across maps."", ""Pandemic keeps me engaged with its cooperative gameplay and urgency."", ""Carcassonne appeals to me with its tile-laying and city-building mechanics.""]",I’m organizing a game night and want to pick board games that I’ll enjoy playing; which ones should be on the list?,"Catan, Chess, Ticket to Ride, Pandemic, Carcassonne"
