id,hop_count,fact_1,fact_2,fact_3,fact_4,chain_1,chain_2,chain_3,chain_4,chain_5,graded_question,ground_truth_answer,choice_a,choice_b,choice_c,choice_d,choice_e,correct_choice
longhop-2hop-021,2,Lina loves quiet libraries.,Being in quiet libraries inspires Lina to write long letters.,When Lina chooses to write long letters she comes to feel nostalgic.,,Lina,quiet libraries,write long letters,feel nostalgic,,"What feeling does Lina reach because of something she loves?

Options:
A. feel optimistic
B. feel apprehensive
C. feel indifferent
D. feel nostalgic
E. feel amused",feel nostalgic,feel optimistic,feel apprehensive,feel indifferent,feel nostalgic,feel amused,D
longhop-2hop-022,2,After morning jogs I crave smoothies.,When I crave smoothies I blend bananas.,I blend bananas because it makes me feel energized.,,morning jogs,crave smoothies,blend bananas,feel energized,,"After my morning jogs, what do I end up feeling?

Options:
A. feel energized
B. feel nostalgic
C. feel indifferent
D. feel irritated
E. feel contemplative",feel energized,feel energized,feel nostalgic,feel indifferent,feel irritated,feel contemplative,A
longhop-2hop-023,2,Rain tapping windows makes me light a candle.,I light a candle before I read poetry.,When I read poetry I feel serene.,,rain tapping windows,light a candle,read poetry,feel serene,,"What state do I reach when rain tapping windows happens?

Options:
A. feel energetic
B. feel serene
C. feel competitive
D. feel indifferent
E. feel confident",feel serene,feel energetic,feel serene,feel competitive,feel indifferent,feel confident,B
longhop-2hop-024,2,Maya dislikes crowded parties.,When crowded parties overwhelm Maya she decides to step outside.,Choosing to step outside makes Maya call her sister.,,Maya,crowded parties,step outside,call her sister,,"What does Maya do after the kind of gathering she dislikes?

Options:
A. fold her laundry
B. call her sister
C. do a crossword
D. organize her desk
E. water her plants",call her sister,fold her laundry,call her sister,do a crossword,organize her desk,water her plants,B
longhop-2hop-025,2,Wearing my lucky sweater makes me feel confident.,When I feel confident I ask for feedback.,I ask for feedback because it helps me improve my work.,,wearing my lucky sweater,feel confident,ask for feedback,improve my work,,"When I'm wearing my lucky sweater, what do I ultimately achieve?

Options:
A. water the houseplants
B. wash the car
C. improve my work
D. finish a jigsaw puzzle
E. cook a simple dinner",improve my work,water the houseplants,wash the car,improve my work,finish a jigsaw puzzle,cook a simple dinner,C
longhop-2hop-026,2,Late-night thunderstorms make me pace around.,When I pace around I organize my desk.,I organize my desk because it helps me sleep better.,,late-night thunderstorms,pace around,organize my desk,sleep better,,"During late-night thunderstorms, what do I ultimately achieve?

Options:
A. eat better
B. travel more
C. sleep better
D. sing more
E. save more",sleep better,eat better,travel more,sleep better,sing more,save more,C
longhop-2hop-027,2,Arjun loves freshly mowed grass.,Smelling freshly mowed grass makes Arjun take slow walks.,When Arjun chooses to take slow walks he comes to feel peaceful.,,Arjun,freshly mowed grass,take slow walks,feel peaceful,,"Because of something Arjun loves, how does he end up feeling?

Options:
A. feel peaceful
B. feel proud
C. feel anxious
D. feel amused
E. feel motivated",feel peaceful,feel peaceful,feel proud,feel anxious,feel amused,feel motivated,A
longhop-2hop-028,2,Finishing a tough workout makes me take long hot showers.,When I take long hot showers I sing softly.,I sing softly until I feel playful.,,finishing a tough workout,take long hot showers,sing softly,feel playful,,"After finishing a tough workout, what do I end up feeling?

Options:
A. feel curious
B. feel playful
C. feel contemplative
D. feel nostalgic
E. feel indifferent",feel playful,feel curious,feel playful,feel contemplative,feel nostalgic,feel indifferent,B
longhop-2hop-029,2,Noah treasures early morning silence.,Early morning silence helps Noah write haiku.,Choosing to write haiku leads Noah to share his haiku with friends.,,Noah,early morning silence,write haiku,share his haiku with friends,,"Because Noah cherishes a certain time, what does he end up doing?

Options:
A. wash his car
B. vacuum his living room
C. fold his laundry
D. share his haiku with friends
E. pay his bills online",share his haiku with friends,wash his car,vacuum his living room,fold his laundry,share his haiku with friends,pay his bills online,D
longhop-2hop-030,2,Midday headaches make me massage my temples.,When I massage my temples I brew chamomile.,I brew chamomile before I take a short nap.,,midday headaches,massage my temples,brew chamomile,take a short nap,,"When I get midday headaches, what do I end up doing?

Options:
A. take a short nap
B. send a quick email
C. wash a few dishes
D. sweep the kitchen floor
E. organize my desk",take a short nap,take a short nap,send a quick email,wash a few dishes,sweep the kitchen floor,organize my desk,A
longhop-2hop-031,2,Priyanka enjoys foggy mornings.,On foggy mornings Priyanka chooses to wear bright scarves.,Deciding to wear bright scarves makes Priyanka feel cheerful.,,Priyanka,foggy mornings,wear bright scarves,feel cheerful,,"Because Priyanka enjoys a certain weather, how does she end up feeling?

Options:
A. feel cheerful
B. feel competitive
C. feel indifferent
D. feel skeptical
E. feel generous",feel cheerful,feel cheerful,feel competitive,feel indifferent,feel skeptical,feel generous,A
longhop-2hop-032,2,Awkward small talk makes me check my phone.,I check my phone so I open my notes app.,When I open my notes app I jot haiku.,,awkward small talk,check my phone,open my notes app,jot haiku,,"When awkward small talk happens, what do I end up doing?

Options:
A. jot haiku
B. fold laundry
C. sort the mail
D. brew tea
E. water the plants",jot haiku,jot haiku,fold laundry,sort the mail,brew tea,water the plants,A
longhop-3hop-001,3,Whenever I sip morning espresso I call my mom.,After I call my mom I plan a day trip.,When I plan a day trip I pack snacks.,Because I pack snacks I take scenic photos.,sip morning espresso,call my mom,plan a day trip,pack snacks,take scenic photos,"When I sip morning espresso, what do I end up doing?

Options:
A. organize the bookshelf
B. practice guitar scales
C. water the plants
D. take scenic photos
E. fold the laundry",take scenic photos,organize the bookshelf,practice guitar scales,water the plants,take scenic photos,fold the laundry,D
longhop-3hop-002,3,When I wear noise-canceling headphones I focus deeply.,Because I focus deeply I finish tasks early.,When I finish tasks early I treat myself to sushi.,Because I treat myself to sushi I post a happy photo.,wear noise-canceling headphones,focus deeply,finish tasks early,treat myself to sushi,post a happy photo,"When I wear noise-canceling headphones, what do I end up doing?

Options:
A. organize the closet
B. dust the bookshelves
C. post a happy photo
D. mail a birthday card
E. water the plants",post a happy photo,organize the closet,dust the bookshelves,post a happy photo,mail a birthday card,water the plants,C
longhop-3hop-003,3,Whenever I play lo-fi beats I draw doodles.,After I draw doodles I fill my sketchbook.,Because I fill my sketchbook I show my sister.,When I show my sister I get encouraging feedback.,play lo-fi beats,draw doodles,fill my sketchbook,show my sister,get encouraging feedback,"When I play lo-fi beats, what do I end up getting?

Options:
A. get the bills paid
B. get a parking ticket
C. get encouraging feedback
D. get the laundry done
E. get a seat on the bus",get encouraging feedback,get the bills paid,get a parking ticket,get encouraging feedback,get the laundry done,get a seat on the bus,C
longhop-3hop-004,3,When I smell fresh cinnamon I start baking cookies.,After I start baking cookies I warm the kitchen.,Because I warm the kitchen I invite neighbors in.,When I invite neighbors in I feel festive.,smell fresh cinnamon,start baking cookies,warm the kitchen,invite neighbors in,feel festive,"When I smell fresh cinnamon, what feeling do I end up with?

Options:
A. feel cautious
B. feel indifferent
C. feel festive
D. feel focused
E. feel contemplative",feel festive,feel cautious,feel indifferent,feel festive,feel focused,feel contemplative,C
longhop-3hop-005,3,Nikolai favors dark roast coffee.,Dark roast coffee makes Nikolai talk rapidly.,When Nikolai talks rapidly he steps outside.,Because Nikolai steps outside he breathes slower.,Nikolai,dark roast coffee,talks rapidly,steps outside,breathes slower,"What does Nikolai end up doing because he favors that coffee?

Options:
A. organizes files
B. draws pictures
C. breathes slower
D. dusts shelves
E. folds laundry",breathes slower,organizes files,draws pictures,breathes slower,dusts shelves,folds laundry,C
longhop-3hop-006,3,When I finish a painting I post it online.,After I post it online I read comments.,Because I read comments I revise details.,When I revise details I feel satisfied.,finish a painting,post it online,read comments,revise details,feel satisfied,"After I finish a painting, what do I end up feeling?

Options:
A. feel hungry
B. feel sleepy
C. feel restless
D. feel satisfied
E. feel chilly",feel satisfied,feel hungry,feel sleepy,feel restless,feel satisfied,feel chilly,D
longhop-3hop-007,3,When I hear ocean waves I feel nostalgic.,Because I feel nostalgic I pull old photos.,After I pull old photos I call my grandparents.,When I call my grandparents we laugh together.,hear ocean waves,feel nostalgic,pull old photos,call my grandparents,laugh together,"When I hear ocean waves, what do I end up doing?

Options:
A. laugh together
B. make tea
C. check the mailbox
D. water the plants
E. tidy up",laugh together,laugh together,make tea,check the mailbox,water the plants,tidy up,A
longhop-3hop-008,3,Beatriz organizes karaoke nights.,Karaoke nights often make Beatriz lose her voice.,When Beatriz loses her voice she sips honey tea.,Because Beatriz sips honey tea she recovers quickly.,Beatriz,karaoke nights,loses her voice,sips honey tea,recovers quickly,"What outcome does Beatriz reach because she runs those nights?

Options:
A. cooks more often
B. paints occasionally
C. recovers quickly
D. exercises regularly
E. reads frequently",recovers quickly,cooks more often,paints occasionally,recovers quickly,exercises regularly,reads frequently,C
longhop-3hop-009,3,Whenever I wear my hiking pack I take the forest trail.,When I take the forest trail I spot deer.,Because I spot deer I take quiet photos.,When I take quiet photos I feel proud.,wear my hiking pack,take the forest trail,spot deer,take quiet photos,feel proud,"What feeling do I reach when I wear my hiking pack?

Options:
A. feel sociable
B. feel talkative
C. feel proud
D. feel annoyed
E. feel indifferent",feel proud,feel sociable,feel talkative,feel proud,feel annoyed,feel indifferent,C
longhop-3hop-010,3,Clara loves late-afternoon lattes.,Late-afternoon lattes give Clara jitters.,Because Clara has jitters she writes poetry.,When Clara writes poetry she sleeps peacefully.,Clara,late-afternoon lattes,jitters,writes poetry,sleeps peacefully,"Because Clara loves that latte habit, how does she end up sleeping?

Options:
A. sleeps noisily
B. sleeps diagonally
C. sleeps upright
D. sleeps peacefully
E. sleeps alone",sleeps peacefully,sleeps noisily,sleeps diagonally,sleeps upright,sleeps peacefully,sleeps alone,D
longhop-3hop-011,3,When I clean my desk I feel productive.,Because I feel productive I start big tasks.,After I start big tasks I lose track of time.,When I lose track of time I forget lunch.,clean my desk,feel productive,start big tasks,lose track of time,forget lunch,"What do I end up doing whenever I clean my desk?

Options:
A. walk dog
B. call mom
C. paint nails
D. forget lunch
E. play chess",forget lunch,walk dog,call mom,paint nails,forget lunch,play chess,D
longhop-3hop-012,3,If I skip my morning news I feel uninformed.,Because I feel uninformed I ask coworkers questions.,When I ask coworkers questions I learn surprising details.,Because I learn surprising details I feel curious all day.,skip my morning news,feel uninformed,ask coworkers questions,learn surprising details,feel curious all day,"If I skip my morning news, what feeling lasts for me?

Options:
A. feel patient all day
B. feel optimistic all day
C. feel curious all day
D. feel sentimental all day
E. feel creative all day",feel curious all day,feel patient all day,feel optimistic all day,feel curious all day,feel sentimental all day,feel creative all day,C
longhop-3hop-013,3,Elena treasures a new fountain pen.,A new fountain pen makes Elena handwrite letters.,When Elena handwrites letters she adds watercolor accents.,Because Elena adds watercolor accents she feels artistic.,Elena,new fountain pen,handwrites letters,adds watercolor accents,feels artistic,"What feeling does Elena end up with because she treasures that pen?

Options:
A. feels indifferent
B. feels competitive
C. feels artistic
D. feels cautious
E. feels skeptical",feels artistic,feels indifferent,feels competitive,feels artistic,feels cautious,feels skeptical,C
longhop-3hop-014,3,When I try a new recipe I mess up measurements.,Because I mess up measurements I start over.,After I start over I learn patience.,When I learn patience I feel more confident next time.,try a new recipe,mess up measurements,start over,learn patience,feel more confident next time,"When I try a new recipe, what do I end up feeling next time?

Options:
A. feel more sleepy next time
B. feel more indifferent next time
C. feel more distracted next time
D. feel more sociable next time
E. feel more confident next time",feel more confident next time,feel more sleepy next time,feel more indifferent next time,feel more distracted next time,feel more sociable next time,feel more confident next time,E
longhop-3hop-015,3,I wear my old denim jacket because I feel nostalgic.,When I feel nostalgic I start playing cassette tapes.,Playing cassette tapes leads me to sway gently.,When I sway gently I hum a soft tune.,wear my old denim jacket,feel nostalgic,playing cassette tapes,sway gently,hum a soft tune,"After I wear my old denim jacket, what do I finally do?

Options:
A. hum a soft tune
B. brew a cup of tea
C. write a quick note
D. update the calendar
E. water the garden plants",hum a soft tune,hum a soft tune,brew a cup of tea,write a quick note,update the calendar,water the garden plants,A
longhop-3hop-016,3,Keiko enjoys window shopping.,Window shopping often leads Keiko to spotting cozy cafes.,Spotting cozy cafes makes Keiko start ordering matcha lattes.,Ordering matcha lattes leads Keiko to doodle in a notebook.,Keiko,window shopping,spotting cozy cafes,ordering matcha lattes,doodle in a notebook,"Ultimately, what does Keiko do as a result of the pastime she enjoys?

Options:
A. sort the laundry
B. cook a simple dinner
C. call a close friend
D. water the houseplants
E. doodle in a notebook",doodle in a notebook,sort the laundry,cook a simple dinner,call a close friend,water the houseplants,doodle in a notebook,E
longhop-3hop-017,3,Jamal loves cranking up funk music.,Cranking up funk music prompts Jamal to start dancing in the kitchen.,Dancing in the kitchen makes Jamal feel exhilarated.,Jamal can feel exhilarated and then whistle loudly.,Jamal,cranking up funk music,dancing in the kitchen,feel exhilarated,whistle loudly,"What does Jamal eventually do because of what he enjoys?

Options:
A. whistle loudly
B. write neatly
C. drive carefully
D. walk slowly
E. wait patiently",whistle loudly,whistle loudly,write neatly,drive carefully,walk slowly,wait patiently,A
longhop-3hop-018,3,I practice tongue twisters to loosen my jaw.,When I loosen my jaw I start singing folk songs.,Singing folk songs makes me feel uplifted.,If I feel uplifted I share a warm hug.,practice tongue twisters,loosen my jaw,singing folk songs,feel uplifted,share a warm hug,"When I practice tongue twisters, what do I end up doing?

Options:
A. organize the bookshelf
B. prepare a simple snack
C. water the houseplants
D. write a short note
E. share a warm hug",share a warm hug,organize the bookshelf,prepare a simple snack,water the houseplants,write a short note,share a warm hug,E
longhop-3hop-019,3,Nora prefers early morning runs.,Early morning runs usually have Nora taking long showers.,Taking long showers makes Nora feel reflective.,Nora can feel reflective and then write a heartfelt email.,Nora,early morning runs,taking long showers,feel reflective,write a heartfelt email,"Ultimately, what does Nora do as a result of her preference?

Options:
A. start a jigsaw puzzle
B. organize the pantry
C. write a heartfelt email
D. paint her nails
E. bake some muffins",write a heartfelt email,start a jigsaw puzzle,organize the pantry,write a heartfelt email,paint her nails,bake some muffins,C
longhop-3hop-020,3,I tidy my inbox because I feel organized.,When I feel organized I start brewing cinnamon coffee.,Brewing cinnamon coffee makes me smile to myself.,After I smile to myself I plan a weekend picnic.,tidy my inbox,feel organized,brewing cinnamon coffee,smile to myself,plan a weekend picnic,"If I tidy my inbox, what do I end up doing?

Options:
A. do a few stretches
B. take a short nap
C. water the houseplants
D. practice guitar chords
E. plan a weekend picnic",plan a weekend picnic,do a few stretches,take a short nap,water the houseplants,practice guitar chords,plan a weekend picnic,E
longhop-3hop-021,3,Anya loves sketching cityscapes.,Sketching cityscapes leaves Anya losing track of time.,Losing track of time sparks Anya's craving something cold.,Craving something cold leads Anya to sit by the window.,Anya,sketching cityscapes,losing track of time,craving something cold,sit by the window,"What does Anya end up doing because of what she loves?

Options:
A. organize the bookshelf
B. water the plants
C. practice a few stretches
D. sit by the window
E. call a friend",sit by the window,organize the bookshelf,water the plants,practice a few stretches,sit by the window,call a friend,D
longhop-3hop-022,3,I wear my bright scarf to feel confident.,When I feel confident I begin striking up a conversation.,Striking up a conversation helps me learn a new perspective.,After I learn a new perspective I sleep with a smile.,wear my bright scarf,feel confident,striking up a conversation,learn a new perspective,sleep with a smile,"When I wear my bright scarf, what do I finally do?

Options:
A. wash the dishes
B. water the plants
C. cook a quick meal
D. sleep with a smile
E. pay the bills",sleep with a smile,wash the dishes,water the plants,cook a quick meal,sleep with a smile,pay the bills,D
longhop-3hop-023,3,Felix likes tuning his guitar.,Tuning his guitar leads Felix to humming old melodies.,Humming old melodies makes Felix feel wistful.,Felix can feel wistful and then send a late-night text.,Felix,tuning his guitar,humming old melodies,feel wistful,send a late-night text,"What does Felix eventually do as a result of his hobby?

Options:
A. organize a desk drawer
B. take out the recycling
C. send a late-night text
D. water the houseplants
E. start a load of laundry",send a late-night text,organize a desk drawer,take out the recycling,send a late-night text,water the houseplants,start a load of laundry,C
longhop-3hop-024,3,I light a lavender candle to unwind.,When I unwind I start reading travel blogs.,Reading travel blogs makes me get inspired.,When I get inspired I sketch a trip route.,light a lavender candle,unwind,reading travel blogs,get inspired,sketch a trip route,"When I light a lavender candle, what do I end up doing?

Options:
A. rinse the dishes
B. fold the laundry
C. water the houseplants
D. sketch a trip route
E. sort the mail",sketch a trip route,rinse the dishes,fold the laundry,water the houseplants,sketch a trip route,sort the mail,D
longhop-3hop-025,3,Gavin likes brewing strong espresso.,Brewing strong espresso leads Gavin to pacing around the room.,Pacing around the room makes Gavin think out loud.,Gavin will think out loud and then record a voice memo.,Gavin,brewing strong espresso,pacing around the room,think out loud,record a voice memo,"Because Gavin likes that habit, what does he finally do?

Options:
A. read the news
B. water the plants
C. record a voice memo
D. wash the dishes
E. send a text message",record a voice memo,read the news,water the plants,record a voice memo,wash the dishes,send a text message,C
longhop-3hop-026,3,I play Sudoku on my phone because I feel restless.,When I feel restless I start brewing herbal tea.,Brewing herbal tea helps me settle on the couch.,After I settle on the couch I drift into a nap.,play Sudoku on my phone,feel restless,brewing herbal tea,settle on the couch,drift into a nap,"When I play Sudoku on my phone, what do I eventually do?

Options:
A. tune my guitar
B. polish my shoes
C. drift into a nap
D. mend a loose button
E. write a postcard",drift into a nap,tune my guitar,polish my shoes,drift into a nap,mend a loose button,write a postcard,C
longhop-3hop-027,3,I doodle during meetings to calm my nerves.,When I calm my nerves I begin snacking on almonds.,Snacking on almonds makes me feel focused.,If I feel focused I finish my task list.,doodle during meetings,calm my nerves,snacking on almonds,feel focused,finish my task list,"When I doodle during meetings, what do I end up doing?

Options:
A. play a video game
B. practice the guitar
C. call my best friend
D. finish my task list
E. watch a nature documentary",finish my task list,play a video game,practice the guitar,call my best friend,finish my task list,watch a nature documentary,D
longhop-3hop-028,3,Iris likes watering her houseplants.,Watering her houseplants leads Iris to opening the curtains.,Opening the curtains makes Iris feel energized.,Iris can feel energized and then start a dance playlist.,Iris,watering her houseplants,opening the curtains,feel energized,start a dance playlist,"What does Iris ultimately do because of what she likes?

Options:
A. book a table for dinner
B. send a quick email
C. write a grocery list
D. renew a library book
E. start a dance playlist",start a dance playlist,book a table for dinner,send a quick email,write a grocery list,renew a library book,start a dance playlist,E
longhop-3hop-029,3,I knit a scarf to relax.,When I relax I start listening to podcasts.,Listening to podcasts makes me laugh unexpectedly.,After I laugh unexpectedly I text my brother.,knit a scarf,relax,listening to podcasts,laugh unexpectedly,text my brother,"When I knit a scarf, what do I end up doing?

Options:
A. clean my glasses
B. text my brother
C. replace a lightbulb
D. book a haircut
E. check the thermostat",text my brother,clean my glasses,text my brother,replace a lightbulb,book a haircut,check the thermostat,B
